Galaxy,M_bh,sigma,sigma_err,M_bh_err
MW,0.0295,100,20,0.05149152542372881
I1459,4.6,312,41,0.26417391304347826
N221,0.039,76,10,0.10015384615384615
N3115,9.2,278,36,0.1415217391304348
N3379,1.35,201,26,0.23468148148148146
N4258,0.39,138,18,0.037835897435897436
N4261,5.4,290,38,0.09644444444444443
N4342,3.3,261,34,0.2498787878787879
N4374,17.0,286,37,0.3063529411764706
N4486,35.7,345,45,0.12399999999999999
N6251,5.9,297,39,0.1471186440677966
N7052,3.7,261,34,0.304972972972973
N821,0.51,196,26,0.17019607843137255
N224,0.35,112,15,0.31
N1023,0.39,201,14,0.1224102564102564
N1068,0.17,149,19,0.33188235294117646
N2778,0.2,171,22,0.3472
N3377,1.03,131,17,0.6741747572815534
N3384,0.185,151,20,0.2134810810810811
N3608,1.13,206,27,0.5530619469026549
N4291,1.54,269,35,0.8736363636363635
N4473,1.026,188,25,0.34686159844054576
N4564,0.57,153,20,0.12943859649122808
N4649,20.6,331,43,0.21489320388349514
N4697,1.22,163,21,0.14229508196721313
N5845,3.52,275,36,0.24659090909090908
N7457,0.035,73,10,0.3347999999999999
